"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/03 10:21:32 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video;HBO Max","Disney+;Prime Video","20","Masculino","Estudando","0","Séries","1","2","Celular","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:27:36 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll ","Netflix;Prime Video;Crunchyroll ","Netflix;Prime Video;HBO Max","20","Masculino","Estudando","0","Séries","0","1","Smart TV","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 10:29:52 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;NBA League Pass","Netflix;Disney+;Star+;Prime Video;HBO Max;NBA League Pass","Netflix;Disney+;Star+;HBO Max","19","Masculino","Estudando","0","Séries","1","1","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço"
"2022/05/03 10:49:56 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;HBO Max","22","Masculino","Estudando e Trabalhando","0","Séries","5","6","Notebook ou PC","R$25,00 - R$35,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:50:22 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max;Globoplay","20 anos","Feminino","Estudando e Trabalhando","0","Séries","4","6","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:51:41 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Netflix;Disney+;HBO Max;Globoplay","21","Masculino","Estudando","0","Séries","1","2","Smart TV","Mais de R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 10:52:48 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","20","Masculino","Estudando","0","Séries","3","4","Google Chromecast ou similar;Tablet ou iPad","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:54:24 AM GMT-3","Netflix;Disney+;HBO Max;Hulu","Netflix","Netflix","20","Masculino","Estudando","0","Séries","0","0","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:55:23 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;HBO Max","19","Masculino","Estudando","0","Filmes","4","4","Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 10:55:39 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max;Globoplay","Netflix","20","Masculino","Estudando","0","Filmes","0","1","Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 10:55:53 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix","Netflix;Disney+;Globoplay","45","Feminino","Nenhuma das opções","0","Documentários","1","2","Smart TV;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:57:13 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix;Prime Video","21","Masculino","Estudando","0","Séries","2","4","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:57:22 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","19","Masculino","Estudando e Trabalhando","0","Séries","2","3","Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 11:05:18 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Disney+;HBO Max","21","Feminino","Estudando","0","Documentários","3","5","Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 11:05:41 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Telecine","Netflix;Prime Video;HBO Max","Netflix;HBO Max","47","Masculino","Trabalhando","0","Filmes","7","4","Smart TV;Celular","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Filmes adultos"
"2022/05/03 11:05:51 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Prime Video","20","Masculino","Estudando","0","Séries","1","3","Celular;Notebook ou PC","R$15,00 - R$25,00","","Preço;Maior catálogo de filmes e séries"
"2022/05/03 11:07:02 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix","Netflix","20","Masculino","Estudando e Trabalhando","0","Séries","1","2","Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 11:07:06 AM GMT-3","Netflix;Disney+","Netflix","Netflix;Disney+","20","Feminino","Estudando e Trabalhando","0","Séries","1","1","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 11:07:56 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;HBO Max","25","Masculino","Estudando","0","Séries","4","5","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 11:09:36 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Netflix;Disney+","18","Feminino","Estudando e Trabalhando","0","Séries","2","0","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:12:28 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Prime Video","Netflix;Prime Video","20","Masculino","Estudando","0","Filmes","6","6","Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 11:15:17 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","HBO Max","21","Masculino","Estudando","0","Séries","2","3","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Conexão;Interface"
"2022/05/03 11:15:53 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix","Netflix","57","Masculino","Trabalhando","0","Filmes","3","6","Smart TV;Google Chromecast ou similar;Celular","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Mais produções nacionais"
"2022/05/03 11:17:00 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","HBO Max","20","Masculino","Estudando e Trabalhando","0","Séries","1","2","Google Chromecast ou similar;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:26:38 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix;Prime Video","Disney+;Prime Video","20 anos","Feminino","Estudando e Trabalhando","0","Séries","1","2","Smart TV;Tablet ou iPad","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:26:57 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Amazon ","Netflix","Amazon","40","Feminino","Trabalhando","1-2","Documentários","1","1","Smart TV","R$5,00 - R$15,00","R$1.000,00 - R$5.000,00","Mais produções nacionais"
"2022/05/03 11:27:05 AM GMT-3","Netflix;Disney+;Prime Video;Hulu;Globoplay;Discovery +, Mubi, Crunchyroll","Netflix;Prime Video;Globoplay;Discovery +, Crunchyroll","Netflix;Prime Video","18","Feminino","Trabalhando","0","Séries","1","3","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:31:09 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Prime Video;HBO Max","HBO Max","30","Masculino","Trabalhando","1-2","Filmes","2","4","Smart TV;Celular","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries"
"2022/05/03 11:33:42 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;Globoplay","Netflix;Disney+","19","Masculino","Estudando","0","Séries","2","3","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço"
"2022/05/03 11:36:19 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","HBO Max","22","Feminino","Estudando","0","Filmes","1","5","Smart TV;Notebook ou PC","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Conexão;Interface"
"2022/05/03 11:42:29 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Star+;HBO Max","20","Masculino","Estudando","0","Séries","1","2","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:54:02 AM GMT-3","Netflix;Disney+;Prime Video;Globoplay","Prime Video","Globoplay","53 anos","Feminino","Nenhuma das opções","0","Séries","0","0","Smart TV","R$5,00 - R$15,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:00:26 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video","Netflix;Star+","53","Masculino","Trabalhando","0","Filmes","8","6","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 12:02:26 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix;HBO Max","45","Masculino","Trabalhando","0","Filmes","1","3","Smart TV;Google Chromecast ou similar","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Interface"
"2022/05/03 12:06:13 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix","Netflix;Prime Video","16","Feminino","Estudando","0","Séries","1","3","Smart TV;Celular","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:08:29 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix","21","Masculino","Estudando e Trabalhando","0","Filmes","2","2","Smart TV;Notebook ou PC","R$5,00 - R$15,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Conexão"
"2022/05/03 12:08:36 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;HBO Max","19","Masculino","Estudando e Trabalhando","0","Séries","1","3","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 12:09:47 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;Globoplay","Netflix;Prime Video","17","Masculino","Estudando","0","Esportes","3","4","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 12:11:25 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","22","Feminino","Estudando e Trabalhando","1-2","Séries","1","2","Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC","R$5,00 - R$15,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 12:15:42 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","Netflix;HBO Max","22","Masculino","Aposentado","0","Séries","2","4","Smart TV;Notebook ou PC","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 12:17:25 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","19","Masculino","Estudando","1-2","Séries","8","8","Celular;Notebook ou PC","R$15,00 - R$25,00","","Preço;Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 12:26:39 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Paramount+","Netflix;Disney+;Prime Video;HBO Max;Paramount+","Disney+;HBO Max","19","Masculino","Estudando e Trabalhando","0","Séries","2","3","Smart TV;Celular;Notebook ou PC","R$5,00 - R$15,00","Mais de R$20.000,00","Preço;Mais produções nacionais;Conexão"
"2022/05/03 12:27:02 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;Globoplay","Netflix;Prime Video;HBO Max","19","Masculino","Estudando e Trabalhando","1-2","Filmes","2","4","Tablet ou iPad;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 12:27:26 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix","Netflix;Globoplay","44","Masculino","Trabalhando","0","Filmes","0","1","Smart TV","R$5,00 - R$15,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:27:58 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Apple+","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;HBO Max","21","Masculino","Estudando e Trabalhando","0","Séries","1","1","Google Chromecast ou similar;Notebook ou PC","Mais de R$35,00","R$1.000,00 - R$5.000,00","Nada"
"2022/05/03 12:28:16 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","HBO Max","18","Masculino","Estudando e Trabalhando","0","Séries","3","4","Smart TV;Tablet ou iPad;Celular","R$15,00 - R$25,00","Mais de R$20.000,00","Interface"
"2022/05/03 12:28:53 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix","53","Masculino","Trabalhando","0","Séries","1","2","Smart TV","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:29:11 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay;crunchyroll","Netflix;Disney+;Prime Video;crunchyroll","Netflix;Disney+;crunchyroll","18","Masculino","Estudando","0","Séries","1","1","Celular;Notebook ou PC","R$5,00 - R$15,00","Mais de R$20.000,00","Conexão"
"2022/05/03 12:29:17 PM GMT-3","Netflix;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix;Prime Video","49","Feminino","Trabalhando","0","Séries","2","6","Smart TV","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 12:29:47 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;StarzPlay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;HBO Max","19","Masculino","Estudando","0","Séries","1","1","Notebook ou PC","R$5,00 - R$15,00","Mais de R$20.000,00","Preço"
"2022/05/03 12:30:08 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","21","Masculino","Estudando e Trabalhando","0","Esportes","1","2","Celular;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:30:11 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;APPLE TV ","Netflix;Disney+;HBO Max","19","Feminino","Estudando","0","Séries","2","4","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 12:31:57 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","20","Masculino","Estudando","0","Esportes","4","4","Smart TV","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Preço"
"2022/05/03 12:33:45 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;Globoplay","Netflix;Prime Video","20","Feminino","Estudando","0","Séries","2","4","Smart TV;Tablet ou iPad;Celular;Notebook ou PC","R$25,00 - R$35,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 12:35:40 PM GMT-3","Netflix;HBO Max;Globoplay","Netflix;Prime Video;Globoplay","Netflix;HBO Max","20","Masculino","Estudando e Trabalhando","0","Documentários","2","4","Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 12:37:22 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix","Netflix","20","Masculino","Estudando","0","Séries","1","3","Smart TV;Tablet ou iPad;Celular","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:37:30 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;HBO Max","51","Masculino","Trabalhando","0","Filmes","2","3","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Conexão"
"2022/05/03 12:39:18 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video","Netflix;Disney+;HBO Max","21","Masculino","Estudando e Trabalhando","0","Filmes","1","2","Smart TV;Tablet ou iPad;Notebook ou PC","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 12:39:36 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Star+;HBO Max","20","Masculino","Estudando","0","Séries","1","3","Tablet ou iPad","R$5,00 - R$15,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 12:39:54 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix","53","Masculino","Trabalhando","0","Documentários","1","3","Smart TV","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 12:40:11 PM GMT-3","Netflix","Netflix","Netflix","58","Feminino","Aposentado","0","Documentários","0","0","Smart TV","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço"
"2022/05/03 12:40:15 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Netflix;HBO Max","21 anos","Feminino","Estudando e Trabalhando","0","Filmes","1","5","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Mais produções nacionais;Interface"
"2022/05/03 12:41:54 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video","Nenhum","19","Masculino","Estudando","0","Séries","3","1","Smart TV;Google Chromecast ou similar","Mais de R$35,00","R$10.000,00 - R$20.000,00","Melhorar a resolução dos planos (Netflix), Não incluir anuncios (Prime video e hulu)"
