servicos_conhecidos,servicos_assinados,servicos_gosto,idade,genero,ocupacao,n_criancas,conteudo_preferido,hrs_semana,hrs_fds,dispositivos,preco_justo,renda,melhorias
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video;HBO Max,Disney+;Prime Video,20,Masculino,Estudando,0,Séries,1,2,Celular,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll,Netflix;Prime Video;Crunchyroll,Netflix;Prime Video;HBO Max,20,Masculino,Estudando,0,Séries,0,1,Smart TV,"R$15,00 - R$25,00","Mais de R$20.000,00",Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;NBA League Pass,Netflix;Disney+;Star+;Prime Video;HBO Max;NBA League Pass,Netflix;Disney+;Star+;HBO Max,19,Masculino,Estudando,0,Séries,1,1,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;HBO Max,22,Masculino,Estudando e Trabalhando,0,Séries,5,6,Notebook ou PC,"R$25,00 - R$35,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max;Globoplay,20,Feminino,Estudando e Trabalhando,0,Séries,4,6,Smart TV;Celular,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video,Netflix;Disney+;HBO Max;Globoplay,21,Masculino,Estudando,0,Séries,1,2,Smart TV,"Mais de R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,20,Masculino,Estudando,0,Séries,3,4,Google Chromecast ou similar;Tablet ou iPad,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;HBO Max;Hulu,Netflix,Netflix,20,Masculino,Estudando,0,Séries,0,0,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;HBO Max,19,Masculino,Estudando,0,Filmes,4,4,Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max;Globoplay,Netflix,20,Masculino,Estudando,0,Filmes,0,1,Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix,Netflix;Disney+;Globoplay,45,Feminino,Nenhuma das opções,0,Documentários,1,2,Smart TV;Celular,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video,21,Masculino,Estudando,0,Séries,2,4,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,19,Masculino,Estudando e Trabalhando,0,Séries,2,3,Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Disney+;HBO Max,21,Feminino,Estudando,0,Documentários,3,5,Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Telecine,Netflix;Prime Video;HBO Max,Netflix;HBO Max,47,Masculino,Trabalhando,0,Filmes,7,4,Smart TV;Celular,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Prime Video,20,Masculino,Estudando,0,Séries,1,3,Celular;Notebook ou PC,"R$15,00 - R$25,00",Não respondeu,Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max,Netflix,Netflix,20,Masculino,Estudando e Trabalhando,0,Séries,1,2,Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries
Netflix;Disney+,Netflix,Netflix;Disney+,20,Feminino,Estudando e Trabalhando,0,Séries,1,1,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular,"R$25,00 - R$35,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;HBO Max,25,Masculino,Estudando,0,Séries,4,5,Smart TV;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video,Netflix;Disney+,18,Feminino,Estudando e Trabalhando,0,Séries,2,0,Smart TV;Celular,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Prime Video,Netflix;Prime Video,20,Masculino,Estudando,0,Filmes,6,6,Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,HBO Max,21,Masculino,Estudando,0,Séries,2,3,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix,Netflix,57,Masculino,Trabalhando,0,Filmes,3,6,Smart TV;Google Chromecast ou similar;Celular,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,HBO Max,20,Masculino,Estudando e Trabalhando,0,Séries,1,2,Google Chromecast ou similar;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Prime Video;HBO Max,Netflix;Prime Video,Disney+;Prime Video,20,Feminino,Estudando e Trabalhando,0,Séries,1,2,Smart TV;Tablet ou iPad,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Prime Video,Netflix,Prime Video,40,Feminino,Trabalhando,1-2,Documentários,1,1,Smart TV,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Mais produções nacionais
Netflix;Disney+;Prime Video;Hulu;Globoplay;Discovery+;Mubi;Crunchyroll,Netflix;Prime Video;Globoplay;Discovery+;Crunchyroll,Netflix;Prime Video,18,Feminino,Trabalhando,0,Séries,1,3,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Prime Video;HBO Max,HBO Max,30,Masculino,Trabalhando,1-2,Filmes,2,4,Smart TV;Celular,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;Globoplay,Netflix;Disney+,19,Masculino,Estudando,0,Séries,2,3,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,HBO Max,22,Feminino,Estudando,0,Filmes,1,5,Smart TV;Notebook ou PC,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Star+;HBO Max,20,Masculino,Estudando,0,Séries,1,2,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Prime Video;Globoplay,Prime Video,Globoplay,53,Feminino,Nenhuma das opções,0,Séries,0,0,Smart TV,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video,Netflix;Star+,53,Masculino,Trabalhando,0,Filmes,8,6,Smart TV,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;HBO Max,45,Masculino,Trabalhando,0,Filmes,1,3,Smart TV;Google Chromecast ou similar,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Interface
Netflix;Disney+;Prime Video;HBO Max,Netflix,Netflix;Prime Video,16,Feminino,Estudando,0,Séries,1,3,Smart TV;Celular,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix,21,Masculino,Estudando e Trabalhando,0,Filmes,2,2,Smart TV;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Conexão
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;HBO Max,19,Masculino,Estudando e Trabalhando,0,Séries,1,3,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;Globoplay,Netflix;Prime Video,17,Masculino,Estudando,0,Esportes,3,4,Smart TV;Celular,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,22,Feminino,Estudando e Trabalhando,1-2,Séries,1,2,Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,Netflix;HBO Max,22,Masculino,Aposentado,0,Séries,2,4,Smart TV;Notebook ou PC,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,19,Masculino,Estudando,1-2,Séries,8,8,Celular;Notebook ou PC,"R$15,00 - R$25,00",Não respondeu,Preço;Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Paramount+,Netflix;Disney+;Prime Video;HBO Max;Paramount+,Disney+;HBO Max,19,Masculino,Estudando e Trabalhando,0,Séries,2,3,Smart TV;Celular;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Mais produções nacionais;Conexão
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;Globoplay,Netflix;Prime Video;HBO Max,19,Masculino,Estudando e Trabalhando,1-2,Filmes,2,4,Tablet ou iPad;Celular,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix,Netflix;Globoplay,44,Masculino,Trabalhando,0,Filmes,0,1,Smart TV,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Apple TV+,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;HBO Max,21,Masculino,Estudando e Trabalhando,0,Séries,1,1,Google Chromecast ou similar;Notebook ou PC,"Mais de R$35,00","R$1.000,00 - R$5.000,00",Nada
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,HBO Max,18,Masculino,Estudando e Trabalhando,0,Séries,3,4,Smart TV;Tablet ou iPad;Celular,"R$15,00 - R$25,00","Mais de R$20.000,00",Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix,53,Masculino,Trabalhando,0,Séries,1,2,Smart TV,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Globoplay;Crunchyroll,Netflix;Disney+;Prime Video;Crunchyroll,Netflix;Disney+;Crunchyroll,18,Masculino,Estudando,0,Séries,1,1,Celular;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Conexão
Netflix;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video,49,Feminino,Trabalhando,0,Séries,2,6,Smart TV,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;StarzPlay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;HBO Max,19,Masculino,Estudando,0,Séries,1,1,Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,21,Masculino,Estudando e Trabalhando,0,Esportes,1,2,Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Apple TV+,Netflix;Disney+;HBO Max,19,Feminino,Estudando,0,Séries,2,4,Smart TV;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,20,Masculino,Estudando,0,Esportes,4,4,Smart TV,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;Globoplay,Netflix;Prime Video,20,Feminino,Estudando,0,Séries,2,4,Smart TV;Tablet ou iPad;Celular;Notebook ou PC,"R$25,00 - R$35,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;HBO Max;Globoplay,Netflix;Prime Video;Globoplay,Netflix;HBO Max,20,Masculino,Estudando e Trabalhando,0,Documentários,2,4,Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix,Netflix,20,Masculino,Estudando,0,Séries,1,3,Smart TV;Tablet ou iPad;Celular,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;HBO Max,51,Masculino,Trabalhando,0,Filmes,2,3,Smart TV,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Conexão
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video,Netflix;Disney+;HBO Max,21,Masculino,Estudando e Trabalhando,0,Filmes,1,2,Smart TV;Tablet ou iPad;Notebook ou PC,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Star+;HBO Max,20,Masculino,Estudando,0,Séries,1,3,Tablet ou iPad,"R$5,00 - R$15,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix,53,Masculino,Trabalhando,0,Documentários,1,3,Smart TV,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix,Netflix,Netflix,58,Feminino,Aposentado,0,Documentários,0,0,Smart TV,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix;HBO Max,21,Feminino,Estudando e Trabalhando,0,Filmes,1,5,Smart TV,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Mais produções nacionais;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video,Nenhum,19,Masculino,Estudando,0,Séries,3,1,Smart TV;Google Chromecast ou similar,"Mais de R$35,00","R$10.000,00 - R$20.000,00",Melhorar a resolução dos planos (Netflix);Não incluir anúncios
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,19,Masculino,Estudando,0,Séries,2,4,Smart TV;Google Chromecast ou similar,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,Netflix,18,Feminino,Estudando,0,Séries,1,2,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Nenhum,Netflix,20,Masculino,Estudando,0,Filmes,0,2,Smart TV,"R$25,00 - R$35,00","R$0,00 - R$1.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Disney+;Star+;Prime Video,19,Masculino,Estudando,0,Séries,3,4,Celular;Notebook ou PC,"R$25,00 - R$35,00","Mais de R$20.000,00",Preço
