servicos_conhecidos,servicos_assinados,servicos_gosto,idade,genero,ocupacao,n_criancas,conteudo_preferido,hrs_semana,hrs_fds,dispositivos,preco_justo,renda,melhorias
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Fox play,Netflix;Prime Video,Netflix;Disney+;Prime Video;HBO Max,19,Masculino,Estudando,0,Séries,1,3,Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video,Netflix;HBO Max,41,Masculino,Trabalhando,1-2,Filmes,0,2,Smart TV;Google Chromecast ou similar;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Youtube Premium,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Youtube Premium;Paramount+,Netflix;Disney+;Star+;HBO Max,33,Masculino,Estudando e Trabalhando,1-2,Séries,1,2,Smart TV;Google Chromecast ou similar;Celular,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Interface;Combo ou integração de serviços no mesmo pacote e aplicativo. Muito ruim ficar procurando conteúdo e assinando várias plataformas simultaneamente
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix,48,Feminino,Nenhuma das opções,0,Filmes,0,2,Smart TV;Tablet ou iPad,"Mais de R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;HBO Max,19,Masculino,Estudando,0,Filmes,1,2,Smart TV,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix,29,Feminino,Trabalhando,0,Séries,2,4,Smart TV,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video,21,Masculino,Estudando,0,Séries,3,6,Smart TV,"R$15,00 - R$25,00",Não respondeu,Preço;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Crunchyroll,HBO Max,20,Masculino,Estudando e Trabalhando,0,Séries,2,2,Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Telecine,Netflix;Prime Video,Netflix;Disney+,13,Feminino,Estudando,1-2,Filmes,0,0,Google Chromecast ou similar;Celular,"R$15,00 - R$25,00",Não respondeu,Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,21,Masculino,Estudando e Trabalhando,0,Esportes,1,2,Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Mais produções nacionais;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Paramount+;Crunchyroll,Netflix;Disney+;Star+;Prime Video;HBO Max;Crunchyroll,Netflix;HBO Max,21,Masculino,Estudando e Trabalhando,0,Séries,2,4,Smart TV;Celular;Notebook ou PC,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Star+;HBO Max,20,Masculino,Estudando,0,Filmes,2,5,Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Star+;HBO Max,19,Masculino,Estudando,0,Séries,4,4,Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;HBO Max,Netflix;Disney+;Star+;Prime Video;HBO Max,22,Masculino,Estudando,1-2,Séries,7,8,Smart TV;Tablet ou iPad,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video,49,Masculino,Trabalhando,1-2,Séries,2,6,Smart TV;Celular,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix,Netflix,20,Masculino,Estudando,0,Séries,1,2,Celular;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;Globoplay,Netflix;Disney+,19,Masculino,Estudando,0,Esportes,1,2,Smart TV;Celular,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Star+;HBO Max,40,Masculino,Trabalhando,0,Séries,2,3,Smart TV;Celular,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Star+;Prime Video;HBO Max,18,Masculino,Estudando,0,Séries,2,1,Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video,Netflix,19,Masculino,Estudando,0,Séries,1,0,Smart TV,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll,Netflix;Prime Video;HBO Max;Crunchyroll,Crunchyroll,20,Masculino,Estudando,0,Séries,2,2,Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix,Netflix;Globoplay,40,Masculino,Estudando e Trabalhando,1-2,Esportes,2,2,Smart TV;Celular,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,Netflix;Disney+,41,Feminino,Trabalhando,1-2,Filmes,2,3,Smart TV,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries
Netflix;HBO Max,Netflix;HBO Max,Netflix;HBO Max,58,Feminino,Trabalhando,1-2,Filmes,1,4,Smart TV,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Globoplay,Netflix;Disney+,18,Masculino,Estudando,0,Filmes,3,2,Smart TV;Tablet ou iPad;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+,Netflix;Disney+,Netflix;Disney+,64,Feminino,Estudando e Trabalhando,1-2,Filmes,2,2,Smart TV;Celular;Notebook ou PC,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries;Conexão
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video,Netflix;Disney+;Prime Video,22,Masculino,Estudando,0,Séries,1,3,Tablet ou iPad;Celular;Notebook ou PC,"R$25,00 - R$35,00",Não respondeu,Preço;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Star+;Prime Video;HBO Max,15,Masculino,Estudando,0,Séries,3,4,Smart TV;Tablet ou iPad;Celular;Notebook ou PC,"R$5,00 - R$15,00",Não respondeu,Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,27,Masculino,Nenhuma das opções,0,Séries,4,6,Google Chromecast ou similar;Celular,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix,Netflix,15,Feminino,Estudando,0,Séries,1,2,Smart TV,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Mais produções nacionais;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video;HBO Max;Globoplay,18,Masculino,Estudando e Trabalhando,0,Séries,3,3,Smart TV;Google Chromecast ou similar,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Nenhum,Star+;HBO Max,52,Masculino,Trabalhando,0,Esportes,0,4,Smart TV,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video,43,Feminino,Nenhuma das opções,3+,Séries,0,1,Google Chromecast ou similar,"R$15,00 - R$25,00",Não respondeu,Maior catálogo de filmes e séries
Netflix;Disney+;Globoplay,Netflix,Netflix,49,Feminino,Trabalhando,0,Séries,0,1,Smart TV,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;HBO Max,Netflix;HBO Max,47,Masculino,Trabalhando,1-2,Filmes,4,1,Google Chromecast ou similar,"R$25,00 - R$35,00","R$1.000,00 - R$5.000,00",Nada
Netflix;Disney+;Star+;Prime Video,Prime Video;HBO Max,HBO Max,17,Masculino,Estudando,0,Esportes,1,1,Smart TV;Tablet ou iPad,"R$25,00 - R$35,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,52,Feminino,Trabalhando,0,Séries,3,8,Google Chromecast ou similar,"R$5,00 - R$15,00","Mais de R$20.000,00",Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;Globoplay,Netflix;Disney+,42,Feminino,Estudando e Trabalhando,1-2,Séries,4,2,Google Chromecast ou similar,"R$25,00 - R$35,00","Mais de R$20.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,20,Masculino,Estudando e Trabalhando,0,Filmes,2,8,Smart TV,"R$15,00 - R$25,00","R$0,00 - R$1.000,00",Preço
Netflix;HBO Max,Netflix;HBO Max,Netflix;HBO Max,57,Masculino,Trabalhando,1-2,Séries,3,8,Smart TV;Notebook ou PC,"Mais de R$35,00","R$5.000,00 - R$10.000,00",Nada
Netflix;Prime Video;Globoplay,Netflix;Prime Video,Netflix,38,Masculino,Trabalhando,0,Filmes,1,2,Smart TV,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;Globoplay,Netflix;Prime Video,40,Masculino,Estudando e Trabalhando,0,Séries,2,5,Smart TV,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Conexão;Interface
Netflix,Netflix,Disney+,59,Masculino,Aposentado,0,Esportes,0,4,Smart TV,"R$15,00 - R$25,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Telecine;Premiere;Crunchyroll,Netflix;Disney+;Star+;Prime Video;HBO Max,Disney+;HBO Max,21,Masculino,Estudando,0,Séries,1,4,Smart TV;Celular;Notebook ou PC,"R$25,00 - R$35,00",Não respondeu,Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Prime Video,Prime Video,21,Masculino,Estudando e Trabalhando,0,Documentários,2,2,Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Prime Video;HBO Max,21,Masculino,Estudando,0,Séries,2,3,Smart TV,"R$15,00 - R$25,00","Mais de R$20.000,00",Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,HBO Max,22,Masculino,Estudando e Trabalhando,0,Séries,1,3,Smart TV;Celular;Notebook ou PC,"R$25,00 - R$35,00",Não respondeu,Maior catálogo de filmes e séries
Netflix,Netflix,Netflix;Disney+;HBO Max,42,Masculino,Trabalhando,1-2,Filmes,7,2,Smart TV;Celular,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço
Netflix;Disney+;Globoplay,Netflix;Disney+,Netflix;Globoplay,54,Feminino,Aposentado,0,Filmes,0,0,Smart TV,"R$5,00 - R$15,00","R$1.000,00 - R$5.000,00",Conexão
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,27,Feminino,Estudando e Trabalhando,1-2,Séries,2,5,Smart TV;Celular;Notebook ou PC,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Conexão
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Star+;HBO Max,19,Feminino,Estudando e Trabalhando,0,Filmes,5,5,Smart TV;Notebook ou PC,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Discovery+,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+,20,Feminino,Estudando e Trabalhando,0,Séries,5,3,Smart TV;Tablet ou iPad;Celular,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Globoplay,Netflix,47,Masculino,Trabalhando,1-2,Séries,3,6,Smart TV;Google Chromecast ou similar,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Nada
Netflix;Prime Video;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,62,Masculino,Trabalhando,0,Filmes,5,2,Smart TV;Celular;Notebook ou PC,"Mais de R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max,Netflix;Disney+;HBO Max,13,Masculino,Estudando,0,Esportes,2,4,Smart TV;Tablet ou iPad;Celular,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Globoplay,Netflix;Disney+,31,Feminino,Trabalhando,1-2,Filmes,2,2,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"Mais de R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video,Netflix,46,Masculino,Trabalhando,1-2,Filmes,0,3,Google Chromecast ou similar;Celular,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;HBO Max;Globoplay,Netflix;Disney+;HBO Max,Netflix;Disney+;HBO Max,20,Feminino,Estudando e Trabalhando,0,Filmes,0,2,Tablet ou iPad;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Star+;Prime Video;Globoplay,Netflix;Disney+;Star+,Netflix,46,Feminino,Trabalhando,0,Filmes,1,3,Smart TV,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço;Conexão
Netflix;Prime Video,Netflix;HBO Max,Prime Video,51,Masculino,Trabalhando,0,Séries,2,2,Smart TV,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Nenhum,Netflix;Disney+;Prime Video,19,Masculino,Estudando,0,Documentários,1,4,Smart TV,"R$5,00 - R$15,00","R$5.000,00 - R$10.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix,Netflix,19,Masculino,Estudando,0,Filmes,5,5,Smart TV;Celular;Notebook ou PC,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Apple TV+,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,34,Outro,Trabalhando,0,Filmes,1,3,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,Netflix;HBO Max,20,Masculino,Estudando,0,Filmes,3,2,Google Chromecast ou similar;Celular,"R$15,00 - R$25,00","Mais de R$20.000,00",Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Prime Video;HBO Max,Netflix;Disney+;Prime Video;HBO Max,Netflix;HBO Max,18,Masculino,Estudando,0,Esportes,0,2,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$5.000,00 - R$10.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,19,Masculino,Estudando,0,Séries,2,4,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,19,Masculino,Estudando,0,Séries,1,2,Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,20,Masculino,Estudando,1-2,Séries,1,1,Google Chromecast ou similar;Celular,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;HBO Max,HBO Max,18,Masculino,Estudando,0,Séries,4,8,Smart TV;Celular;Notebook ou PC,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,23,Feminino,Trabalhando,0,Filmes,1,5,Smart TV,"R$15,00 - R$25,00",Não respondeu,Interface
